station_complex_id,mae,smape
1,49.62095041316354,44.602812016920346
1,53.18799354079312,38.118923461918364
10,98.28616879835121,39.63050026365328
100,13.77189932919869,49.08763866934389
101,50.727295453210566,42.301410694794015
118,28.10461254278489,41.59092415245034
119,104.98100097389964,36.34769653703256
120,148.18914275754895,49.61442032960166
122,46.01219902349122,39.232501082904776
123,30.326986060221802,40.410284127806186
124,33.78526925646639,37.09130401661053
125,32.49676710038102,36.518849700308586
126,44.16177158227058,37.2544200045137
127,49.18311863272247,34.94576334740052
129,32.427914454870255,37.78434101501198
13,49.473185007236076,35.24721538616271
130,17.33606417113207,41.587812996451085
131,11.569639171145269,48.61712132608207
133,8.195917849204069,47.98678461471208
134,9.498216838705082,37.47952569442359
135,14.703920747233365,45.289094648490355
136,13.814044668490363,48.19733678805186
137,14.51806576169867,52.26916687418234
138,13.939714234229227,44.72531986137672
14,76.46626307311023,47.41792075331324
143,27.509006127764174,44.848303691491125
147,33.54436214286742,49.63062273279941
149,15.369446220241944,37.50000493737597
150,11.34578261783367,39.20608233420632
151,85.44546606559118,36.03824669333275
152,21.90240434765307,34.48987769919478
153,106.91901748083504,38.90997774201212
154,27.285156804881563,35.09577008108148
155,31.536411673919055,36.94362820213533
156,23.338464527135994,44.949614238590115
157,41.49533184815396,45.61558014189344
158,52.31794196585461,45.21350101424647
159,72.36889522787162,45.75152534394581
16,75.32613033459879,39.61093788325027
160,45.927687135390585,45.70914154718801
162,86.45634707996362,30.625826372098864
164,319.2126559564575,41.16098090397693
165,91.90920754715367,40.973641462401595
167,180.28100553906032,37.085805142832214
168,64.4435532518756,54.60658309618424
169,70.0039433010385,40.27008972660071
17,58.4884241140411,42.39867324933741
173,48.63817177702615,55.73576998476963
175,48.73859801180665,39.320272709070714
176,26.189047101789278,44.76559588271617
177,38.65837344515001,56.93902881186147
179,55.1852221830186,40.97542630576297
180,26.372388177477223,35.46804143039034
181,42.80797905579363,28.97421292237441
182,18.087552170328784,36.36629337651247
183,22.347126282870324,34.47023783449342
185,12.958640410573397,48.630355984829116
186,10.68818641862164,40.70283540086422
187,11.223978862099619,38.90712337384446
188,43.04993547869538,37.30026675226923
189,21.83556638376548,42.12469171290215
190,16.25696603637555,48.5800091444292
192,23.870406691066723,33.62670610823099
194,10.118582848652832,53.83592966484715
195,24.704854471776137,47.256993791052345
196,6.767482684383984,52.5160914482982
198,15.000724075721434,38.26368979289994
2,41.62814872282584,41.282548164147094
203,5.147745822445559,53.0392808816338
204,12.19481476918535,47.46340151143082
205,8.203269771344424,42.927781506382196
208,8.151400275095634,49.43192060197432
209,16.631993391182895,35.63556731899213
220,11.399031011013399,38.02252112058821
221,30.30066324819746,48.78703097686155
222,35.69174261368076,55.95915656078239
223,77.26835164443857,56.970556498473826
225,217.6725854847849,41.30197148940816
228,101.34496781699782,39.83939127828198
231,80.88115600328344,37.504207117351456
232,66.74680325041246,29.712107272872412
234,71.97210438617218,41.51776192944009
235,68.39955425471139,50.28376174137043
236,51.255347282734284,49.01814507064084
237,57.90034246203676,45.95479692432269
238,20.349858223112857,38.51687196323131
240,66.66338143024166,38.64632009798702
241,31.88168309093209,41.740924899488355
242,25.082079873780156,36.717187945810366
243,33.90806300506232,24.87207251979576
254,55.31433062699548,25.91125363224983
255,33.283410229013626,42.52650614454734
256,30.72351777621165,34.11162320913498
257,15.081355385759053,32.74603129387581
258,17.352035018485495,38.57683271391627
259,105.94395629459608,45.51893492049893
26,67.18888545128364,38.41467499294513
260,16.070502239079318,44.845780927147146
261,87.52120189645802,36.8856767264551
